week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV001,STR001,North,162,5702.4,True,BOGO,0.12
2024-01-01,BEV001,STR002,North,56,2240.0,False,,0.0
2024-01-01,BEV001,STR003,West,157,6280.0,False,,0.0
2024-01-01,BEV001,STR004,East,64,2560.0,False,,0.0
2024-01-01,BEV001,STR005,East,124,4960.0,False,,0.0
2024-01-01,BEV001,STR006,East,91,2584.4,True,Bundle,0.29
2024-01-01,BEV001,STR007,East,87,2992.8,True,Price Cut,0.14
2024-01-01,BEV001,STR008,West,165,6600.0,False,,0.0
2024-01-01,BEV001,STR009,South,102,4080.0,False,,0.0
2024-01-01,BEV001,STR010,South,124,4960.0,False,,0.0
2024-01-01,BEV001,STR011,East,96,3840.0,False,,0.0
2024-01-01,BEV001,STR012,West,81,3240.0,False,,0.0
2024-01-01,BEV001,STR013,South,97,3880.0,False,,0.0
2024-01-01,BEV001,STR014,West,121,4840.0,False,,0.0
2024-01-01,BEV001,STR015,West,93,3720.0,False,,0.0
2024-01-01,BEV001,STR016,South,169,6760.0,False,,0.0
2024-01-01,BEV001,STR017,South,58,2320.0,False,,0.0
2024-01-01,BEV001,STR018,North,102,4080.0,False,,0.0
2024-01-01,BEV001,STR019,North,73,2920.0,False,,0.0
2024-01-01,BEV001,STR020,West,138,5520.0,False,,0.0
2024-01-01,BEV001,STR021,West,66,2640.0,False,,0.0
2024-01-01,BEV001,STR022,South,62,2480.0,False,,0.0
2024-01-01,BEV001,STR023,South,332,10491.2,True,Bundle,0.21
2024-01-01,BEV001,STR024,East,82,3280.0,False,,0.0
2024-01-01,BEV001,STR025,East,123,4920.0,False,,0.0
2024-01-01,BEV002,STR001,North,67,2814.0,False,,0.0
2024-01-01,BEV002,STR002,North,102,4284.0,False,,0.0
2024-01-01,BEV002,STR003,West,152,6384.0,False,,0.0
2024-01-01,BEV002,STR004,East,77,3234.0,False,,0.0
2024-01-01,BEV002,STR005,East,281,9441.6,True,BOGO,0.2
2024-01-01,BEV002,STR006,East,84,3528.0,False,,0.0
2024-01-01,BEV002,STR007,East,176,6504.96,True,Bundle,0.12
2024-01-01,BEV002,STR008,West,88,3696.0,False,,0.0
2024-01-01,BEV002,STR009,South,297,9604.98,True,Display Feature,0.23
2024-01-01,BEV002,STR010,South,136,5712.0,False,,0.0
2024-01-01,BEV002,STR011,East,85,3570.0,False,,0.0
2024-01-01,BEV002,STR012,West,55,2310.0,False,,0.0
2024-01-01,BEV002,STR013,South,94,3948.0,False,,0.0
2024-01-01,BEV002,STR014,West,124,5208.0,False,,0.0
2024-01-01,BEV002,STR015,West,133,5586.0,False,,0.0
2024-01-01,BEV002,STR016,South,138,5796.0,False,,0.0
